threshold,topk,detections_kept,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage,false_positives,total_scans,false_positives_per_scan
0.0,1,888,407,1186,0.34317032040472173,407,601,0.6772046589018302,481,888,0.5416666666666666
0.0,2,1776,609,1186,0.5134907251264755,467,601,0.7770382695507487,1167,888,1.3141891891891893
0.0,3,2664,738,1186,0.6222596964586846,506,601,0.8419301164725458,1926,888,2.168918918918919
0.0,4,3552,812,1186,0.684654300168634,525,601,0.8735440931780366,2740,888,3.0855855855855854
0.0,5,4440,870,1186,0.7335581787521079,537,601,0.8935108153078203,3570,888,4.02027027027027
0.0,6,5328,914,1186,0.7706576728499157,547,601,0.9101497504159733,4414,888,4.9707207207207205
0.0,7,6216,953,1186,0.8035413153456998,558,601,0.9284525790349417,5263,888,5.926801801801802
0.0,8,7104,975,1186,0.8220910623946037,563,601,0.9367720465890182,6129,888,6.902027027027027
0.0,9,7992,991,1186,0.8355817875210793,566,601,0.9417637271214643,7001,888,7.884009009009009
0.0,10,8880,999,1186,0.842327150084317,567,601,0.9434276206322796,7881,888,8.875
0.1,1,888,407,1186,0.34317032040472173,407,601,0.6772046589018302,481,888,0.5416666666666666
0.1,2,1776,609,1186,0.5134907251264755,467,601,0.7770382695507487,1167,888,1.3141891891891893
0.1,3,2664,738,1186,0.6222596964586846,506,601,0.8419301164725458,1926,888,2.168918918918919
0.1,4,3552,812,1186,0.684654300168634,525,601,0.8735440931780366,2740,888,3.0855855855855854
0.1,5,4440,870,1186,0.7335581787521079,537,601,0.8935108153078203,3570,888,4.02027027027027
0.1,6,5328,914,1186,0.7706576728499157,547,601,0.9101497504159733,4414,888,4.9707207207207205
0.1,7,6216,953,1186,0.8035413153456998,558,601,0.9284525790349417,5263,888,5.926801801801802
0.1,8,7104,975,1186,0.8220910623946037,563,601,0.9367720465890182,6129,888,6.902027027027027
0.1,9,7992,991,1186,0.8355817875210793,566,601,0.9417637271214643,7001,888,7.884009009009009
0.1,10,8880,999,1186,0.842327150084317,567,601,0.9434276206322796,7881,888,8.875
0.2,1,888,407,1186,0.34317032040472173,407,601,0.6772046589018302,481,888,0.5416666666666666
0.2,2,1776,609,1186,0.5134907251264755,467,601,0.7770382695507487,1167,888,1.3141891891891893
0.2,3,2664,738,1186,0.6222596964586846,506,601,0.8419301164725458,1926,888,2.168918918918919
0.2,4,3552,812,1186,0.684654300168634,525,601,0.8735440931780366,2740,888,3.0855855855855854
0.2,5,4440,870,1186,0.7335581787521079,537,601,0.8935108153078203,3570,888,4.02027027027027
0.2,6,5328,914,1186,0.7706576728499157,547,601,0.9101497504159733,4414,888,4.9707207207207205
0.2,7,6216,953,1186,0.8035413153456998,558,601,0.9284525790349417,5263,888,5.926801801801802
0.2,8,7104,975,1186,0.8220910623946037,563,601,0.9367720465890182,6129,888,6.902027027027027
0.2,9,7992,991,1186,0.8355817875210793,566,601,0.9417637271214643,7001,888,7.884009009009009
0.2,10,8880,999,1186,0.842327150084317,567,601,0.9434276206322796,7881,888,8.875
0.3,1,885,407,1186,0.34317032040472173,407,601,0.6772046589018302,478,888,0.5382882882882883
0.3,2,1766,608,1186,0.5126475548060708,466,601,0.7753743760399334,1158,888,1.304054054054054
0.3,3,2634,737,1186,0.6214165261382799,505,601,0.8402662229617305,1897,888,2.1362612612612613
0.3,4,3495,811,1186,0.6838111298482293,524,601,0.8718801996672213,2684,888,3.0225225225225225
0.3,5,4345,868,1186,0.7318718381112985,536,601,0.891846921797005,3477,888,3.9155405405405403
0.3,6,5181,911,1186,0.7681281618887015,545,601,0.9068219633943427,4270,888,4.808558558558558
0.3,7,6006,949,1186,0.8001686340640809,556,601,0.9251247920133111,5057,888,5.69481981981982
0.3,8,6819,970,1186,0.8178752107925801,560,601,0.9317803660565723,5849,888,6.586711711711712
0.3,9,7624,985,1186,0.8305227655986509,563,601,0.9367720465890182,6639,888,7.476351351351352
0.3,10,8422,993,1186,0.8372681281618887,564,601,0.9384359400998337,7429,888,8.36599099099099
0.4,1,803,391,1186,0.3296795952782462,391,601,0.6505823627287853,412,888,0.46396396396396394
0.4,2,1570,579,1186,0.4881956155143339,442,601,0.7354409317803661,991,888,1.115990990990991
0.4,3,2281,695,1186,0.5860033726812817,477,601,0.7936772046589018,1586,888,1.7860360360360361
0.4,4,2919,764,1186,0.6441821247892074,494,601,0.8219633943427621,2155,888,2.4268018018018016
0.4,5,3482,818,1186,0.6897133220910624,506,601,0.8419301164725458,2664,888,3.0
0.4,6,3959,859,1186,0.7242833052276559,515,601,0.8569051580698835,3100,888,3.490990990990991
0.4,7,4378,894,1186,0.7537942664418212,526,601,0.8752079866888519,3484,888,3.9234234234234235
0.4,8,4731,911,1186,0.7681281618887015,529,601,0.8801996672212978,3820,888,4.301801801801802
0.4,9,5022,924,1186,0.7790893760539629,531,601,0.8835274542429284,4098,888,4.614864864864865
0.4,10,5264,931,1186,0.784991568296796,532,601,0.8851913477537438,4333,888,4.879504504504505
0.5,1,704,374,1186,0.31534569983136596,374,601,0.6222961730449251,330,888,0.3716216216216216
0.5,2,1241,546,1186,0.46037099494097805,414,601,0.6888519134775375,695,888,0.7826576576576577
0.5,3,1629,642,1186,0.5413153456998314,439,601,0.7304492512479202,987,888,1.1114864864864864
0.5,4,1899,702,1186,0.5919055649241147,454,601,0.7554076539101497,1197,888,1.347972972972973
0.5,5,2097,742,1186,0.6256323777403036,463,601,0.7703826955074875,1355,888,1.5259009009009008
0.5,6,2255,774,1186,0.6526138279932546,470,601,0.7820299500831946,1481,888,1.6677927927927927
0.5,7,2375,802,1186,0.6762225969645869,480,601,0.7986688851913477,1573,888,1.7713963963963963
0.5,8,2461,815,1186,0.6871838111298483,483,601,0.8036605657237936,1646,888,1.8536036036036037
0.5,9,2530,825,1186,0.6956155143338955,485,601,0.8069883527454242,1705,888,1.920045045045045
0.5,10,2582,831,1186,0.7006745362563238,486,601,0.8086522462562395,1751,888,1.9718468468468469
0.6,1,566,342,1186,0.28836424957841483,342,601,0.5690515806988353,224,888,0.25225225225225223
0.6,2,884,484,1186,0.40809443507588533,369,601,0.6139767054908486,400,888,0.45045045045045046
0.6,3,1085,556,1186,0.4688026981450253,386,601,0.6422628951747088,529,888,0.5957207207207207
0.6,4,1223,594,1186,0.5008431703204047,395,601,0.6572379367720466,629,888,0.7083333333333334
0.6,5,1319,624,1186,0.5261382799325464,404,601,0.6722129783693843,695,888,0.7826576576576577
0.6,6,1394,645,1186,0.5438448566610455,410,601,0.6821963394342762,749,888,0.8434684684684685
0.6,7,1444,663,1186,0.5590219224283305,419,601,0.697171381031614,781,888,0.8795045045045045
0.6,8,1479,667,1186,0.5623946037099494,420,601,0.6988352745424293,812,888,0.9144144144144144
0.6,9,1501,670,1186,0.5649241146711635,422,601,0.7021630615640599,831,888,0.9358108108108109
0.6,10,1514,672,1186,0.5666104553119731,423,601,0.7038269550748752,842,888,0.9481981981981982
0.7,1,383,258,1186,0.2175379426644182,258,601,0.4292845257903494,125,888,0.14076576576576577
0.7,2,565,341,1186,0.2875210792580101,267,601,0.4442595673876872,224,888,0.25225225225225223
0.7,3,678,380,1186,0.32040472175379425,276,601,0.45923460898502494,298,888,0.3355855855855856
0.7,4,754,399,1186,0.33642495784148396,284,601,0.47254575707154745,355,888,0.3997747747747748
0.7,5,809,419,1186,0.35328836424957843,293,601,0.4875207986688852,390,888,0.4391891891891892
0.7,6,849,429,1186,0.3617200674536256,298,601,0.49584026622296173,420,888,0.47297297297297297
0.7,7,872,437,1186,0.3684654300168634,302,601,0.502495840266223,435,888,0.48986486486486486
0.7,8,886,439,1186,0.37015177065767285,303,601,0.5041597337770383,447,888,0.5033783783783784
0.7,9,894,441,1186,0.3718381112984823,305,601,0.5074875207986689,453,888,0.5101351351351351
0.7,10,896,441,1186,0.3718381112984823,305,601,0.5074875207986689,455,888,0.5123873873873874
0.8,1,192,107,1186,0.09021922428330523,107,601,0.17803660565723795,85,888,0.09572072072072071
0.8,2,283,128,1186,0.10792580101180438,108,601,0.17970049916805325,155,888,0.17454954954954954
0.8,3,347,139,1186,0.11720067453625632,112,601,0.18635607321131448,208,888,0.23423423423423423
0.8,4,394,142,1186,0.11973018549747048,115,601,0.1913477537437604,252,888,0.28378378378378377
0.8,5,421,146,1186,0.12310286677908938,118,601,0.19633943427620631,275,888,0.3096846846846847
